Intitulé,Entreprise,Lieu,Salaire min,Salaire max,Salaire prédit,Secteur,Skills détectés,Description
Développeur/Développeuse,A5sys,"Saint-Herblain, Nantes",,,0,Unknown,,"En tant que Développeur Data et IA, vous serez un acteur clé de nos projets, avec des responsabilités variées et stimulantes : Ingénierie des Données : Participer à la conception, au développement et à la maintenance de pipelines de données (collecte, traitement ETL/ELT, stockage). Préparer, nettoyer et optimiser les données pour les analyses et pour l'alimentation des modèles d'IA. Contribuer à la gestion et à l'évolution de nos infrastructures de données. Développement IA : Collaborer au déve…"
Développeur Scala/Développeuse Scala,eXalt IT,"Ile-de-France, France",,,0,Unknown,,"DESCRIPTIF DU POSTE : eXalt IT , spécialisée sur les métiers du Software Engineering, forte d’une communauté de 100 développeurs, recherche son/sa nouveau/elle Développeur/se Scala , pour aller à la conquête de nouveaux projets techniques ! Mais qui sommes-nous ?! Des passionnés de code propre, de bonnes pratiques et l’envie de progresser en continu. Des gens qui parlent TDD, DDD, multithreading, architecture hexagonale ou microservices… et qui t’écoutent quand tu en parles aussi. ✨ Ici, on cul…"
Développeur Dotnet/Développeuse Dotnet,Everyware - Expert recrutement tech,"Blois, Loir-et-Cher",,,0,Unknown,,"Je recrute pour un des leaders de la protection sociale, qui s'engage à offrir à ses clients des solutions innovantes et des services de haute qualité pour répondre à leurs besoins complexes. Avec plus de 3000 collaborateurs et 200 milliards d'actifs gérés, plus de 10 millions de personnes sont concernées par leurs services. En tant qu'Ingénieur études et Développement .Net / C#, vous vous assurez que les logiciels développés répondent de manière optimale aux besoins d'informatisation du Métier…"
Développeur informatique/Développeuse informatique,Pact&Go,"Montpellier, Hérault",,,0,Unknown,,"Nous recherchons un(e) Développeuse Back-End (Nest.JS) avec possibilité d'intervenir en front (sur Angular) pour l'un de nos clients, une ESN locale sur Montpellier, à taille humaine, et réputée depuis près de 20 ans. Contexte : Vous rejoindrez leur équipe développement composée d’environ 40 développeurs. Vous interviendrez dans un projet en pleine conception dans le domaine de la prévention et de la santé, avec une équipe de dix personnes (Développeurs, chef de projet, ingénieur DevOps…) en ce…"
Développeur web/Développeuse web,Groupe all,France,,,0,Unknown,React,"Centrale d’achats et de services dédiés aux opticiens, groupe leader des opticiens indépendants en France et en Belgique avec plus de 2000 adhérents. Nous construisons des solutions adaptées à chacun de nos opticiens pour les accompagner dans le développement de leur clientèle. Pour renforcer nos équipes, nous recherchons un développeur Web expérimenté (H/F).  Votre mission de Développeur Web À notre siège à Mons-en-baroeul, nous recherchons un développeur web PHP, Symfony, React.js (NextJs). E…"
Développeur web/Développeuse web,eXalt IT,"Ile-de-France, France",,,0,Unknown,,"Développeur Full Stack Java/Shell Descriptif du poste : eXalt IT, spécialisée sur les métiers du Software Engineering, forte d’une communauté de 100 développeurs, recherche son/sa nouveau/elle Développeur/se Full Stack Java / Shell , pour aller à la conquête de nouveaux projets techniques ! Mais qui sommes-nous ?! Des passionnés de code propre, de bonnes pratiques et l’envie de progresser en continu. Des gens qui parlent TDD, DDD, multithreading, architecture hexagonale ou microservices… et qui…"
Développeur web/Développeuse web,Challenge Recrutement,"Toulouse, Haute-Garonne",,,0,Emplois Informatique,,"La société : Notre client est une société spécialisée dans le développement d’un logiciel de GMAO pour des clients très diversifiés et regroupant une dizaine de collaborateurs sur 2 sites. Depuis 2 ans et la sortie d’un nouveau logiciel, elle connaît une belle croissance et propose de nouvelles solutions à ses clients. C’est dans ce contexte de forte croissance et afin de renforcer les équipes au service exploitation, que nous recherchons un Développeur Full Stack H/F qui pourra appuyer le déve…"
Développeur/Développeuse PHP/Symfony,Bloomind,France,,,0,Unknown,,"Nous sommes à la recherche de notre futur.e développeur.euse PHP / Symfony / VueJS / Flutter pour rejoindre notre équipe dynamique et inclusive au sein de Bloomind ! Chez Bloomind, nous mettons l'accent sur l'épanouissement de nos collaborateurs. Pour cela, tu participeras à la co-construction de l'entreprise à travers la formation, les events et surtout la déclinaison de la philosophie Bloomind. En tant que développeur.se, tu auras l'opportunité de contribuer à la phase de conception, de dével…"
Développeur Dotnet/Développeuse Dotnet,PROXIAD,"Tassin-la-Demi-Lune, Lyon",,,0,Unknown,,"Dans le cadre de notre développement, nous recrutons pour intégrer notre équipe située à Tassin (69) un : Analyste Développeur C# (H/F) Vos missions, si vous les acceptez : Rattaché au chef de projet référent, le candidat aura pour missions : Sur le pôle Capital Investissement : L’analyse technique et le développement de nouvelles fonctionnalités La rédaction des cas de tests et la réalisation des tests La maintenance opérationnelle Le maintien de la documentation Sur le pôle Instruction Affact…"
Développeur Python/Développeuse Python,eXalt IT,"Ile-de-France, France",,,0,Unknown,Python,"Descriptif du poste : eXalt IT, spécialisée sur les métiers du Software Engineering, forte d’une communauté de 100 développeurs, recherche son/sa nouveau/elle Développeur/se Confirmé.e / Senior Python, pour aller à la conquête de nouveaux projets techniques ! Mais qui sommes-nous ?! Des passionnés de code propre, de bonnes pratiques et l’envie de progresser en continu. Des gens qui parlent TDD, DDD, multithreading, architecture hexagonale ou microservices… et qui t’écoutent quand tu en parles a…"
